"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"XM-DAC-21-1-2020991592B2PROGRAM-CSFPRGFND","People have sustainable and decent work","Ireland - Department of Foreign Affairs","157,998","157,998","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991592B2PROGRAM-CSFPRGFND",4
"XM-DAC-21-1-2020991591B2PROGRAM-CSFPRGFND","People have resilient health","Ireland - Department of Foreign Affairs","12,512","12,512","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991591B2PROGRAM-CSFPRGFND",4
"XM-DAC-21-1-2020991535B2PROGRAM-CSFPRGFND","Increased income for 2,000 extreme poor households  (Urban Graduation Model) in 8","Ireland - Department of Foreign Affairs","868,769","868,769","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991535B2PROGRAM-CSFPRGFND",4
"XM-DAC-21-1-2020991534B2PROGRAM-CSFPRGFND","Increased community cohesion and reduced violence in the 8 target districts in Cite Soleil","Ireland - Department of Foreign Affairs","37,232","37,232","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991534B2PROGRAM-CSFPRGFND",4
"XM-DAC-21-1-2020991533B2PROGRAM-CSFPRGFND","Improved Local governance through partnership and dialogue between community and local &amp;Central Government","Ireland - Department of Foreign Affairs","62,055","62,055","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991533B2PROGRAM-CSFPRGFND",4
"XM-DAC-21-1-2020991532B2PROGRAM-CSFPRGFND","Decreased vulnerability of 8 target communities to heavy rains","Ireland - Department of Foreign Affairs","273,042","273,042","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991532B2PROGRAM-CSFPRGFND",4
"FI-3-2019-2018180280","Finnpartnership programme","Finland - Ministry for Foreign Affairs","20,769","20,769","USD","https://d-portal.org/ctrack.html#view=act&aid=FI-3-2019-2018180280",2
"XM-DAC-21-1-2020991432B2MISCARA-CSFSTRAT","Viatores Christi Health personnel development i otherapy, special needs educat ion, speech &amp; language therapy , and physical education in th e project","Ireland - Department of Foreign Affairs","84,817","84,817","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991432B2MISCARA-CSFSTRAT",4
"XM-DAC-21-1-2020991297B2MISCARA-CSFSTRAT","Religious of Jesus and Mary R.J.M. - Continuing I.T. Educa the Jean Rabel Region in Haiti","Ireland - Department of Foreign Affairs","13,048","13,048","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991297B2MISCARA-CSFSTRAT",4
"XM-DAC-21-1-2020991296B2MISCARA-CSFSTRAT","Religious of Jesus and Mary R.J.M. - Continuing I.T. Educa the Jean Rabel Region in Haiti at primary level","Ireland - Department of Foreign Affairs","13,048","13,048","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991296B2MISCARA-CSFSTRAT",4
